Identifiant du lieu,Ann�e du tournage,Type de tournage,Titre,R�alisateur,Producteur,Localisation de la sc�ne,Code postal,Date de d�but,Date de fin,Coordonn�e en X,Coordonn�e en Y,geo_shape,geo_point_2d,,
2017-1003,2017,Long m�trage,Au bout des doigts,Ludovic Bernard,RECIFILMS,5 rue cernuschi,75017,75017,20/11/2017,20/11/2017,2.30718611,48.88634207,"{""type"": ""Point"", ""coordinates"": [2.307186107402077, 48.886342072017605]}",48.886342072,2.3071861074
2020-969,2020,Long m�trage,Vous n'aurez pas ma haine,Kilian Riedhof,HAUT ET COURT,122 boulevard de clichy,75018,75018,09/12/2020,09/12/2020,2.33001648,48.88462775,"{""type"": ""Point"", ""coordinates"": [2.330016481439685, 48.88462775261161]}",48.8846277526,2.33001648144
2019-735,2019,Long m�trage,L'Origine du Monde,Laurent Lafitte,Tr�sor Films,avenue de saint-cloud,75016,75016,27/06/2019,29/06/2019,2.25505836,48.85790831,"{""type"": ""Point"", ""coordinates"": [2.255058358905374, 48.85790831317155]}",48.8579083132,2.25505835891
2016-2726,2016,Long m�trage,MARYLINE,GUILLAUME GALLIENNE,LGM FILMS,103/111� BOULEVARD� DE GRENELLE,75015,14/10/2016,14/10/2016,2.297753,48.849334,"{""type"": ""Point"", ""coordinates"": [2.297752999508052, 48.84933400027847]}",48.8493340003,2.29775299951,
2016-483,2016,Long m�trage,120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,LES FILMS DE PIERRE,12� RUE� DU RENARD,75014,12/10/2016,12/10/2016,2.3231479999999998,48.831390999999996,"{""type"": ""Point"", ""coordinates"": [2.323147999883153, 48.831390999709335]}",48.8313909997,2.32314799988,
2017-1019,2017,Long m�trage,TERRITOIRES,DAVID OELHOFFEN,ONE WORLD FILMS,1 rue alphonse de neuville,75017,75017,05/12/2017,05/12/2017,2.302812,48.88545076,"{""type"": ""Point"", ""coordinates"": [2.302812001205297, 48.88545076018576]}",48.8854507602,2.30281200121
2020-972,2020,Long m�trage,Vous n'aurez pas ma haine,Kilian Riedhof,HAUT ET COURT,rue ramponeau,75020,75020,11/12/2020,12/12/2020,2.38106754,48.87156264,"{""type"": ""Point"", ""coordinates"": [2.381067538365306, 48.87156263886527]}",48.8715626389,2.38106753837
2016-2750,2016,Long m�trage,BEFIKRE,ADITYA CHOPRA,FIRSTEP,PARC� DES BUTTES CHAUMONT,75019,28/04/2016,28/04/2016,2.387537,48.879186,"{""type"": ""Point"", ""coordinates"": [2.387536999394646, 48.879185999860795]}",48.8791859999,2.38753699939,
2016-504,2016,Long m�trage,LEILA,NAIDRA AYADI,NOLITA CINEMA,RUE� SAINT DENIS/DU CAIRE,75002,24/11/2016,24/11/2016,2.350652,48.867616,"{""type"": ""Point"", ""coordinates"": [2.350652000115698, 48.867616000164006]}",48.8676160002,2.35065200012,
2019-750,2019,Long m�trage,LA BOULE DU DRAGON,DOMINIQUE BAUMART et MOULOUD ACHOUR,SRAB FILMS,rue keller,75011,75011,02/07/2019,02/07/2019,2.37693147,48.85338685,"{""type"": ""Point"", ""coordinates"": [2.376931466504454, 48.85338684894]}",48.8533868489,2.3769314665
2016-2033,2016,Long m�trage,LA DOULEUR,EMMANUEL FINKIEL,LES FILMS DU POISSON,PLACE� JOFFRE,75007,16/08/2016,16/08/2016,2.303246,48.852647,"{""type"": ""Point"", ""coordinates"": [2.303245999349314, 48.85264700007523]}",48.8526470001,2.30324599935,
2019-771,2019,Long m�trage,PARENT D'ELEVE,NOEMIE SAGLIO,RECTANGLE PRODUCTIONS,rue albinoni,75012,75012,08/07/2019,11/07/2019,2.38867047,48.84216638,"{""type"": ""Point"", ""coordinates"": [2.388670467605994, 48.84216637779415]}",48.8421663778,2.38867046761
2016-2775,2016,Long m�trage,JUST DIVORCED,MAXIME GOVARE,LES IMPRODUCTIBLES,RUE� DE LA BOURSE,75002,07/11/2016,07/11/2016,2.339595,48.869552,"{""type"": ""Point"", ""coordinates"": [2.33959500019362, 48.869551999972366]}",48.869552,2.33959500019,
2016-2052,2016,Long m�trage,MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,LES FILMS DU KIOSQUE,BOIS*� DE BOULOGNE,75016,24/02/2016,24/02/2016,2.286885,48.875133,"{""type"": ""Point"", ""coordinates"": [2.286884999968946, 48.875133000370575]}",48.8751330004,2.28688499997,
2019-892,2019,Long m�trage,PARENT D'ELEVE,NOEMIE SAGLIO,RECTANGLE PRODUCTIONS,2 rue bignon,75012,75012,09/07/2019,09/07/2019,2.38835456,48.84029837,"{""type"": ""Point"", ""coordinates"": [2.388354559542072, 48.84029836554184]}",48.8402983655,2.38835455954
2016-2053,2016,Long m�trage,BEFIKRE,ADITYA CHOPRA,FIRSTEP,RUE� DES HOSPITALIERES SAINT GERVAIS,75004,26/02/2016,26/02/2016,2.358936,48.857943,"{""type"": ""Point"", ""coordinates"": [2.358936000586888, 48.857943000162194]}",48.8579430002,2.35893600059,
2017-1082,2017,Long m�trage,LOLA ET SES FRERES,Jean-Paul ROUVE,NOLITA CINEMA,2 rue albert einstein,75013,75013,29/12/2017,29/12/2017,2.38260089,48.82623657,"{""type"": ""Point"", ""coordinates"": [2.382600887500222, 48.82623656579173]}",48.8262365658,2.3826008875
2016-963,2016,Long m�trage,RODIN,JACQUES DOILLON,LES FILMS DU LENDEMAIN,28� RUE� GEOFFROY L'ASNIER,75004,26/05/2016,27/05/2016,2.356798,48.855033,"{""type"": ""Point"", ""coordinates"": [2.356797999999164, 48.8550329997716]}",48.8550329998,2.356798,
2016-1225,2016,Long m�trage,OUI MADEMOISELLE,YISHU YANG,BAYOO,22� RUE� MARX DORMOY,75018,12/03/2016,12/03/2016,2.359647,48.886104,"{""type"": ""Point"", ""coordinates"": [2.359647000535352, 48.88610400043779]}",48.8861040004,2.35964700054,
2016-2055,2016,Long m�trage,OUI MADEMOISELLE,YISHU YANG,BAYOO,PONT� NEUF,75001,12/03/2016,12/03/2016,2.344139,48.860317,"{""type"": ""Point"", ""coordinates"": [2.344139000660152, 48.860317000149195]}",48.8603170001,2.34413900066,
2017-1564,2017,Long m�trage,Un homme press�,,Albertine Productions,pont charles de gaulle,75012,75012,17/07/2017,18/07/2017,2.36913602,48.84258571,"{""type"": ""Point"", ""coordinates"": [2.369136015986842, 48.84258570428102]}",48.8425857043,2.36913601599
2019-902,2019,Long m�trage,PLAYLIST,Nine ANTICO,L'ATELIER DE PRODUCTION,boulevard auguste blanqui,75013,75013,23/08/2019,25/08/2019,2.34966006,48.82941979,"{""type"": ""Point"", ""coordinates"": [2.349660062728245, 48.82941979021666]}",48.8294197902,2.34966006273
2016-1230,2016,Long m�trage,LE REDOUTABLE,MICHEL HAZANAVICIUS,LES COMPAGNONS DU CINEMA,RUE� DE LA BANQUE,75002,26/08/2016,26/08/2016,2.340613,48.867533,"{""type"": ""Point"", ""coordinates"": [2.340612999440525, 48.86753299987807]}",48.8675329999,2.34061299944,
2020-601,2020,Long m�trage,Des vacances � tout prix,Stevan Lee Mraovitch,Charlotte Russe Films,292 rue saint-martin,75003,75003,08/10/2020,08/10/2020,2.35464139,48.86697241,"{""type"": ""Point"", ""coordinates"": [2.354641390601379, 48.86697241129094]}",48.8669724113,2.3546413906
2017-900,2017,Long m�trage,LES CHAMPS DE FLEURS,Jeanne Herry,CHI FOU MI PRODUCTIONS,30 rue du chevaleret,75013,75013,09/11/2017,09/11/2017,2.3772562,48.82762188,"{""type"": ""Point"", ""coordinates"": [2.377256204766478, 48.827621876092316]}",48.8276218761,2.37725620477
2016-996,2016,Long m�trage,BEFIKRE,ADITYA CHOPRA,FIRSTEP,QUAI� DE BOURBON,75004,26/04/2016,26/04/2016,2.355069,48.853036,"{""type"": ""Point"", ""coordinates"": [2.355069000430317, 48.85303600003277]}",48.853036,2.35506900043,
2019-913,2019,Long m�trage,PARENT D'ELEVE,NOEMIE SAGLIO,RECTANGLE PRODUCTIONS,rue jacques hillairet,75012,75012,02/08/2019,02/08/2019,2.38974054,48.84365973,"{""type"": ""Point"", ""coordinates"": [2.389740540979004, 48.84365973161614]}",48.8436597316,2.38974054098
2016-1259,2016,Long m�trage,KOTO,YUKI SAITO,HAUT LES MAINS,PLACE� DES GRANDES RIGOLES,75020,04/03/2016,04/03/2016,2.389933,48.873625,"{""type"": ""Point"", ""coordinates"": [2.389933000221563, 48.87362499996572]}",48.873625,2.38993300022,
2020-613,2020,Long m�trage,Un d�jeuner d'amis,Edouard Baer,Cinefrance Studios,rue du val de gr�ce,75005,75005,10/10/2020,10/10/2020,2.3398102,48.84117761,"{""type"": ""Point"", ""coordinates"": [2.33981019620791, 48.841177612076464]}",48.8411776121,2.33981019621
2016-2486,2016,Long m�trage,LOUE MOI,VIRGINE SCSWARTZ,MY FAMILY,SQUARE� D'ANVERS,75009,22/11/2016,22/11/2016,2.344383,48.882164,"{""type"": ""Point"", ""coordinates"": [2.344382999744433, 48.882164000226496]}",48.8821640002,2.34438299974,
2017-928,2017,Long m�trage,Synonymes,Nadav Lapid,SBS FILMS,rue de brosse,75004,75004,24/11/2017,24/11/2017,2.35380256,48.85522319,"{""type"": ""Point"", ""coordinates"": [2.353802563546822, 48.85522319109311]}",48.8552231911,2.35380256355
2016-2492,2016,Long m�trage,MARIAGE BLANC,TAREK BOUDALI,AXEL FILMS,4� AVENUE� DE L'OBSERVATOIRE,75006,09/09/2016,09/09/2016,2.336335,48.843419,"{""type"": ""Point"", ""coordinates"": [2.336334999629731, 48.843419000169774]}",48.8434190002,2.33633499963,
2020-48,2020,Long m�trage,PETITE LE�ON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,21 rue du poteau,75018,75018,31/01/2020,31/01/2020,2.34212251,48.89360767,"{""type"": ""Point"", ""coordinates"": [2.342122512996153, 48.893607668144035]}",48.8936076681,2.342122513
2016-1311,2016,Long m�trage,JE VAIS MIEUX,JEAN PIERRE AMERIS,EUROPA CORP,COUR� DE LA FERME SAINT LAZARE,75010,20/12/2016,20/12/2016,2.354956,48.876234,"{""type"": ""Point"", ""coordinates"": [2.354955999975634, 48.87623400006301]}",48.8762340001,2.35495599998,
2017-1163,2017,Long m�trage,Tout le monde debout,Franck Dubosc,Gaumont C/o Gaumont Production,avenue de la porte de la villette,75019,75019,16/05/2017,16/05/2017,2.38766126,48.89958912,"{""type"": ""Point"", ""coordinates"": [2.387661261196787, 48.899589118985816]}",48.899589119,2.3876612612
2016-1323,2016,Long m�trage,BEFIKRE,ADITYA CHOPRA,FIRSTEP,RUE� DES SAULES,75018,25/02/2016,25/02/2016,2.3401389999999997,48.889247,"{""type"": ""Point"", ""coordinates"": [2.340139000340448, 48.88924700020133]}",48.8892470002,2.34013900034,
2016-522,2016,Long m�trage,MARIE FRANCINE,VALERIE LEMERCIER,RECTANGLE PRODUCTIONS,97� BOULEVARD� DE MONTMORENCY,75016,28/04/2016,28/04/2016,2.26077,48.848709,"{""type"": ""Point"", ""coordinates"": [2.260770000253743, 48.848708999816274]}",48.8487089998,2.26077000025,
2016-1067,2016,Long m�trage,MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,LES FILMS DU KIOSQUE,16� AVENUE� VICTOR HUGO,75016,01/03/2016,01/03/2016,2.291848,48.872476,"{""type"": ""Point"", ""coordinates"": [2.291848000014923, 48.87247600040758]}",48.8724760004,2.29184800001,
2016-1338,2016,Long m�trage,LE REDOUTABLE,MICHEL HAZANAVICIUS,LES COMPAGNONS DU CINEMA,RUE� BROCHART DE SARON,75009,03/08/2016,03/08/2016,2.342473,48.881416,"{""type"": ""Point"", ""coordinates"": [2.3424730004321432, 48.881415999982046]}",48.881416,2.34247300043,
2016-534,2016,Long m�trage,DIANE A LES EPAULES,FABIEN GORGEART,PETIT FILM,33� AVENUE� FOCH,75016,19/08/2016,19/08/2016,2.286099,48.872295,"{""type"": ""Point"", ""coordinates"": [2.286098999789029, 48.87229500034841]}",48.8722950003,2.28609899979,
2017-1228,2017,Long m�trage,UNE HISTOIRE DE L'ART,LUCAS BERNARD,LES GRANDS ESPACES FILMS,7 avenue franklin d. roosevelt,75008,75008,20/06/2017,23/06/2017,2.31000514,48.86574404,"{""type"": ""Point"", ""coordinates"": [2.310005143034865, 48.86574404311255]}",48.8657440431,2.31000514303
2016-1068,2016,Long m�trage,DALIDA,LISA AZUELOS,BETHSABEE MUCHO,11� RUE� CHARDON LAGACHE (HOPITAL STE PERINE),75016,04/03/2016,04/03/2016,2.26667,48.844977,"{""type"": ""Point"", ""coordinates"": [2.266669999394985, 48.84497699981972]}",48.8449769998,2.26666999939,
2020-59,2020,Long m�trage,PETITE LE�ON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,45 rue rodier,75009,75009,04/02/2020,04/02/2020,2.34371232,48.88027783,"{""type"": ""Point"", ""coordinates"": [2.3437123231334462, 48.88027783054732]}",48.8802778305,2.34371232313
2016-541,2016,Long m�trage,LEILA,NAIDRA AYADI,NOLITA CINEMA,RUE� SAINT DENIS,75002,21/11/2016,21/11/2016,2.351137,48.866753,"{""type"": ""Point"", ""coordinates"": [2.351137000228783, 48.86675299964787]}",48.8667529996,2.35113700023,
2016-1069,2016,Long m�trage,LA NIAQUE,CHAD CHENOUGA,TS PRODUCTIONS,33� BOULEVARD� DES INVALIDES,75007,04/03/2016,04/03/2016,2.314847,48.852291,"{""type"": ""Point"", ""coordinates"": [2.314846999352946, 48.852290999881134]}",48.8522909999,2.31484699935,
2019-1176,2019,Long m�trage,Les Meilleures,Marion Desseigne Ravel,31 Juin Films,57 rue piat,75020,75020,19/09/2019,19/09/2019,2.383418,48.87314343,"{""type"": ""Point"", ""coordinates"": [2.383418001045918, 48.87314342650481]}",48.8731434265,2.38341800105
2016-552,2016,Long m�trage,WAR MACHINE,DAVID MICHOD,FIRSTEP,QUAI� DES TUILERIES,75001,31/01/2016,31/01/2016,2.342193,48.856182,"{""type"": ""Point"", ""coordinates"": [2.342193000530423, 48.856181999937014]}",48.8561819999,2.34219300053,
2017-1245,2017,Long m�trage,LOVE ADDICT,Frank BELLOCQ,MY FAMILY,32 rue dareau,75014,75014,01/06/2017,02/06/2017,2.3363982,48.83086633,"{""type"": ""Point"", ""coordinates"": [2.336398195564202, 48.830866333141124]}",48.8308663331,2.33639819556
2018-1167,2018,Long m�trage,La v�rit� (...),Hirokazu KORE-EDA,3B PRODUCTIONS,32 boulevard saint-jacques,75014,75014,08/10/2018,20/10/2018,2.33840193,48.8328974,"{""type"": ""Point"", ""coordinates"": [2.338401928225837, 48.83289739752544]}",48.8328973975,2.33840192823
2020-118,2020,Long m�trage,ADIEU MONSIEUR HAFFMANN,FRED CAVAY�,VENDOME FILMS,57 rue berthe,75018,75018,14/03/2020,14/03/2020,2.33872114,48.88585596,"{""type"": ""Point"", ""coordinates"": [2.338721141807266, 48.88585595781013]}",48.8858559578,2.33872114181
2017-1246,2017,Long m�trage,LOVE ADDICT,Frank BELLOCQ,MY FAMILY,place vauban,75007,75007,01/06/2017,01/06/2017,2.3114027,48.85386076,"{""type"": ""Point"", ""coordinates"": [2.311402697579102, 48.853860763400306]}",48.8538607634,2.31140269758
2020-121,2020,Long m�trage,ADIEU MONSIEUR HAFFMANN,FRED CAVAY�,VENDOME FILMS,57 rue berthe,75018,75018,20/03/2020,20/03/2020,2.33872114,48.88585596,"{""type"": ""Point"", ""coordinates"": [2.338721141807266, 48.88585595781013]}",48.8858559578,2.33872114181
2020-1099,2020,Long m�trage,STELLA EST AMOUREUSE,Sylvie Verheyde,ATELIER DE PRODUCTION,51 boulevard auguste blanqui,75013,75013,22/12/2020,22/12/2020,2.35047458,48.82941324,"{""type"": ""Point"", ""coordinates"": [2.350474575433703, 48.82941323523969]}",48.8294132352,2.35047457543
2019-839,2019,Long m�trage,PARENT D'ELEVE,NOEMIE SAGLIO,RECTANGLE PRODUCTIONS,15 rue jacques hillairet,75012,75012,10/07/2019,10/07/2019,2.3875304,48.84276693,"{""type"": ""Point"", ""coordinates"": [2.387530396376128, 48.84276693034535]}",48.8427669303,2.38753039638
2017-1369,2017,Long m�trage,Les tuche 3,Olivier Baroux,Eskwad,parvis notre-dame place jean-paul ii,75004,75004,14/06/2017,14/06/2017,2.34742343,48.85356537,"{""type"": ""Point"", ""coordinates"": [2.347423428584993, 48.853565364492596]}",48.8535653645,2.34742342858
2016-1114,2016,Long m�trage,SOUS LE MEME TOIT,DOMINIQUE FARRUGIA,EUROPA CORP,19� AVENUE� KLEBER/HOTEL LE PENINSULA,75016,11/07/2016,11/07/2016,2.293316,48.871009,"{""type"": ""Point"", ""coordinates"": [2.293315999702749, 48.87100900008343]}",48.8710090001,2.2933159997,
2016-1484,2016,Long m�trage,LOUE MOI,VIRGINE SCSWARTZ,MY FAMILY,8� RUE� PASTOURELLE,75003,18/11/2016,18/11/2016,2.360665,48.862171,"{""type"": ""Point"", ""coordinates"": [2.36066499989214, 48.86217099972432]}",48.8621709997,2.36066499989,
2016-2164,2016,Long m�trage,GC5,GUILLAUME CANET,LES PRODUCTIONS DU TRESOR,64� RUE� NOTRE DAME DE LORETTE,75009,16/02/2016,16/02/2016,2.335226,48.880389,"{""type"": ""Point"", ""coordinates"": [2.335225999714464, 48.88038899974998]}",48.8803889997,2.33522599971,
2017-1381,2017,Long m�trage,Les Affam�s,L�a Fr�deval,LES FILMS DU CLAN,rue de la verrerie,75004,75004,30/06/2017,30/06/2017,2.35539005,48.85701442,"{""type"": ""Point"", ""coordinates"": [2.355390050520928, 48.85701442062025]}",48.8570144206,2.35539005052
2016-1138,2016,Long m�trage,SI J'ETAIS UN HOMME,AUDREY DANA,CURIOSA FILMS,RUE� PETIT,75019,10/03/2016,10/03/2016,2.385804,48.885369,"{""type"": ""Point"", ""coordinates"": [2.385803999733878, 48.885369000090975]}",48.8853690001,2.38580399973,
2020-142,2020,Long m�trage,On est fait pour s'entendre,Pascal Elb�,JERICO FILMS,place de la porte de saint-cloud,75016,75016,26/02/2020,26/02/2020,2.25699931,48.83842687,"{""type"": ""Point"", ""coordinates"": [2.256999308892451, 48.83842686802321]}",48.838426868,2.25699930889
2016-2172,2016,Long m�trage,NOS ANNEES FOLLES,ANDRE TECHINE,ARPROD,JARDIN*� DU PRE CATELAN,75016,14/09/2016,14/09/2016,2.2552,48.865015,"{""type"": ""Point"", ""coordinates"": [2.255199999619041, 48.86501499985408]}",48.8650149999,2.25519999962,
2016-1149,2016,Long m�trage,120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,LES FILMS DE PIERRE,RUE� MICHEL CHASLES,75012,14/09/2016,14/09/2016,2.373803,48.847009,"{""type"": ""Point"", ""coordinates"": [2.373803000492703, 48.847008999897014]}",48.8470089999,2.37380300049,
2020-168,2020,Long m�trage,en attendant Bojangles,R�gis Roinsard,Curiosa films,5 rue de l'essai,75005,75005,13/03/2020,13/03/2020,2.35822936,48.83959762,"{""type"": ""Point"", ""coordinates"": [2.358229357396759, 48.839597619184055]}",48.8395976192,2.3582293574
2016-2178,2016,Long m�trage,LA NIAQUE,CHAD CHENOUGA,TS PRODUCTIONS,23� RUE� JEAN PIERRE TIMBAUD,75011,29/04/2016,29/04/2016,2.368368,48.865401,"{""type"": ""Point"", ""coordinates"": [2.368368000359715, 48.86540099973527]}",48.8654009997,2.36836800036,
2016-1152,2016,Long m�trage,JUST DIVORCED,MAXIME GOVARE,LES IMPRODUCTIBLES,PLACE� DES VOSGES,75004,06/10/2016,06/10/2016,2.365625,48.854978,"{""type"": ""Point"", ""coordinates"": [2.365625000300946, 48.85497799998932]}",48.854978,2.3656250003,
2020-174,2020,Long m�trage,On est fait pour s'entendre,Pascal Elb�,JERICO FILMS,43 rue de lisbonne,75008,75008,05/03/2020,06/03/2020,2.3092257,48.87737959,"{""type"": ""Point"", ""coordinates"": [2.309225699361908, 48.877379592667566]}",48.8773795927,2.30922569936
2016-1492,2016,Long m�trage,EMBRASSE MOI,CYPRIEN VIAL,NOLITA CINEMA,BOIS*� DE VINCENNES,75012,05/07/2016,05/07/2016,2.42055,48.824166,"{""type"": ""Point"", ""coordinates"": [2.420550000083614, 48.82416599973975]}",48.8241659997,2.42055000008,
2016-2697,2016,Long m�trage,FLEUVE NOIR,ERICK ZONCA,CURIOSA FILMS,68� BOULEVARD� DE CLICHY,75018,04/05/2016,04/05/2016,2.334099,48.883568,"{""type"": ""Point"", ""coordinates"": [2.334099000617355, 48.88356800036982]}",48.8835680004,2.33409900062,
2016-1497,2016,Long m�trage,THE ESCAPE,DOMINIC SAVAGE,HANNA FILMS,QUAI� ANATOLE FRANCE,75007,20/10/2016,20/10/2016,2.323632,48.86119,"{""type"": ""Point"", ""coordinates"": [2.323632000235316, 48.86119000024753]}",48.8611900002,2.32363200024,
2020-735,2020,Long m�trage,COULEURS DE L'INCENDIE,Clovis Cornillac,GAUMONT C/0 GAUMONT PRODUCTION,8 rue saint-louis en l'ile,75004,75004,28/10/2020,28/10/2020,2.35900275,48.85100269,"{""type"": ""Point"", ""coordinates"": [2.359002750621449, 48.85100268763432]}",48.8510026876,2.35900275062
2017-1289,2017,Long m�trage,GEMINI,Christopher Mac Quarrie,FIRSTEP,promenade ren� capitant,75005,75005,02/05/2017,02/05/2017,2.34672224,48.85320678,"{""type"": ""Point"", ""coordinates"": [2.346722239222338, 48.853206778971185]}",48.853206779,2.34672223922
2019-676,2019,Long m�trage,THE HUNTING,LEO ZHANG,SWEET DREAMS FILMS,11 cit� de tr�vise,75009,75009,18/06/2019,18/06/2019,2.34665273,48.87503424,"{""type"": ""Point"", ""coordinates"": [2.346652732415363, 48.87503423624615]}",48.8750342362,2.34665273242
2016-1518,2016,Long m�trage,CA C'EST LA FAMILLE,TEDDY LUSSI MODESTE,KAZAK PRODUCTIONS,51� QUAI� DES GRANDS AUGUSTINS,75006,26/08/2016,26/08/2016,2.341605,48.855171,"{""type"": ""Point"", ""coordinates"": [2.341604999820741, 48.855170999784036]}",48.8551709998,2.34160499982,
2020-737,2020,Long m�trage,Les Olympiades,Jacques Audiard,Page 114,rue dunois,75013,75013,27/10/2020,27/10/2020,2.36917495,48.83116904,"{""type"": ""Point"", ""coordinates"": [2.369174950654538, 48.831169039926394]}",48.8311690399,2.36917495065
2017-1509,2017,Long m�trage,� jamais fid�le,cheyenne carron,Hesiode Productions,22 avenue jean aicard,75011,75011,21/08/2017,21/08/2017,2.38090405,48.86598795,"{""type"": ""Point"", ""coordinates"": [2.380904050249927, 48.86598795317053]}",48.8659879532,2.38090405025
2020-740,2020,Long m�trage,La Fracture,Catherine Corsini,CHAZ PRODUCTIONS,rue turgot,75009,75009,31/10/2020,31/10/2020,2.34555854,48.87987362,"{""type"": ""Point"", ""coordinates"": [2.345558538588732, 48.87987362352485]}",48.8798736235,2.34555853859
2017-1540,2017,Long m�trage,UNDER THE EIFFEL TOWER,ARCHIE BORDERS,KANZAMAN FRANCE,cours albert ier,75008,75008,18/07/2017,18/07/2017,2.3022059,48.86440696,"{""type"": ""Point"", ""coordinates"": [2.302205899772004, 48.86440696392109]}",48.8644069639,2.30220589977
2016-1549,2016,Long m�trage,KNOCK,LORRAINE LEVY,CURIOSA FILMS,TUNNEL� DE L'ARSENAL/PORT DE L'ARSENAL,75004,16/08/2016,16/08/2016,2.366481,48.851204,"{""type"": ""Point"", ""coordinates"": [2.366480999850213, 48.851204000086426]}",48.8512040001,2.36648099985,
2017-1431,2017,Long m�trage,COLETTE,WASH WESTMORELAND,MOVE MOVIE,rue malebranche,75005,75005,12/07/2017,12/07/2017,2.34270002,48.84628825,"{""type"": ""Point"", ""coordinates"": [2.342700021107344, 48.84628825207046]}",48.8462882521,2.34270002111
2019-1281,2019,Long m�trage,Seize Printemps,Suzanne Lindon,Avenue B Productions,63 rue des clo�s,75018,75018,26/09/2019,26/09/2019,2.3364734,48.89345828,"{""type"": ""Point"", ""coordinates"": [2.336473403435796, 48.893458275308866]}",48.8934582753,2.33647340344
2016-1563,2016,Long m�trage,VIVE LA CRISE,JEAN FRANCOIS DAVY,LES FILMS MONTAIGNE,18� RUE� D'ARCUEIL,75014,26/05/2016,26/05/2016,2.34277,48.820224,"{""type"": ""Point"", ""coordinates"": [2.342770000536145, 48.82022399973837]}",48.8202239997,2.34277000054,
2020-751,2020,Long m�trage,LES CHOSES HUMAINES,YVAN ATTAL,CURIOSA FILMS,14 rue augustin thierry,75019,75019,29/10/2020,29/10/2020,2.39334608,48.8763927,"{""type"": ""Point"", ""coordinates"": [2.3933460797612423, 48.8763927026453]}",48.8763927026,2.39334607976
2017-1452,2017,Long m�trage,L'�chapp�e,Mathias Pardo,CHIFOUMI PRODUCTIONS,44 boulevard de la villette,75019,75019,11/07/2017,12/07/2017,2.37525331,48.8740954,"{""type"": ""Point"", ""coordinates"": [2.37525330605596, 48.87409539688338]}",48.8740953969,2.37525330606
2019-1712,2019,Long m�trage,CIGARE AU MIEL,Madame KAMIR A�NOUZ,ELIPH PRODUCTIONS,7 rue de berri,75008,75008,12/12/2019,12/12/2019,2.30355063,48.87219487,"{""type"": ""Point"", ""coordinates"": [2.303550627818585, 48.87219487147879]}",48.8721948715,2.30355062782
2017-1299,2017,Long m�trage,LOVE ADDICT,FRANK BELLOCQ,MY FAMILY,place du paraguay,75016,75016,31/05/2017,01/06/2017,2.27636341,48.87177699,"{""type"": ""Point"", ""coordinates"": [2.276363410902429, 48.871776988510966]}",48.8717769885,2.2763634109
2018-1340,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,parvis rosa parks,75019,75019,08/11/2018,08/11/2018,2.37481184,48.89719102,"{""type"": ""Point"", ""coordinates"": [2.374811835093078, 48.8971910159285]}",48.8971910159,2.37481183509
2019-1719,2019,Long m�trage,30 Jours Max,Tarek BOUDALI,AXEL FILMS PRODUCTION,rue ren� clair,75018,75018,09/12/2019,09/12/2019,2.35412007,48.89401073,"{""type"": ""Point"", ""coordinates"": [2.354120069589919, 48.89401072715022]}",48.8940107272,2.35412006959
2017-1328,2017,Long m�trage,Un couteau dans le coeur,Yann Gonzalez,CG Cin�ma,98 rue des couronnes,75020,75020,14/06/2017,15/06/2017,2.38838302,48.87067028,"{""type"": ""Point"", ""coordinates"": [2.388383016488131, 48.870670274570614]}",48.8706702746,2.38838301649
2016-2782,2016,Long m�trage,LA DOULEUR,EMMANUEL FINKIEL,LES FILMS DU POISSON,112� RUE� CHAMPIONNET/RESTAURANT LA RENAISSANCE,75018,29/09/2016,29/09/2016,2.339712,48.895825,"{""type"": ""Point"", ""coordinates"": [2.339712000224285, 48.8958250003381]}",48.8958250003,2.33971200022,
2020-257,2020,Long m�trage,La croisade,Louis Garrel,why not productions,8 rue de l'amiral la ronci�re le noury,75012,75012,29/06/2020,29/06/2020,2.40862691,48.83606955,"{""type"": ""Point"", ""coordinates"": [2.408626911817504, 48.8360695466676]}",48.8360695467,2.40862691182
2017-1334,2017,Long m�trage,L'extraordinaire voyage du Fakir,Ken Scott,Brio Films,avenue gustave eiffel,75007,75007,19/07/2017,20/07/2017,2.29546872,48.85798988,"{""type"": ""Point"", ""coordinates"": [2.295468720205373, 48.85798987538009]}",48.8579898754,2.29546872021
2019-1265,2019,Long m�trage,Une histoire d'amour et de d�sir,Leila Bouzid,Blue Monday Productions,place de l'abb� basset,75005,75005,15/10/2019,16/10/2019,2.34792369,48.84673723,"{""type"": ""Point"", ""coordinates"": [2.347923688963307, 48.846737225194]}",48.8467372252,2.34792368896
2016-31,2016,Long m�trage,LEILA,NAIDRA AYADI,NOLITA CINEMA,36� RUE� LAUGIER,75017,18/11/2016,18/11/2016,2.294696,48.882108,"{""type"": ""Point"", ""coordinates"": [2.294695999652388, 48.882107999788005]}",48.8821079998,2.29469599965,
