Identifiant du lieu,Ann�e du tournage,Type de tournage,Titre,R�alisateur,Producteur,Localisation de la sc�ne,Code postal,Date de d�but,Date de fin,Coordonn�e en X,Coordonn�e en Y,geo_shape,geo_point_2d,,
2017-673,2017,Long m�trage,Premieres Vacances,Patrick Cassir,The Film,39 quai de la loire,75019,75019,11/10/2017,12/10/2017,2.37872173,48.88740489,"{""type"": ""Point"", ""coordinates"": [2.378721726249045, 48.887404885029305]}",48.887404885,2.37872172625
2017-674,2017,Long m�trage,Premieres Vacances,Patrick Cassir,The Film,39 quai de la loire,75019,75019,11/10/2017,12/10/2017,2.37872173,48.88740489,"{""type"": ""Point"", ""coordinates"": [2.378721726249045, 48.887404885029305]}",48.887404885,2.37872172625
2017-410,2017,Long m�trage,BAD POEMS,Gabor Reisz,LES FILMS DU BALIBARI,21 rue paul albert,75018,75018,23/08/2017,23/08/2017,2.34507822,48.88746534,"{""type"": ""Point"", ""coordinates"": [2.34507822244101, 48.88746534249334]}",48.8874653425,2.34507822244
2017-416,2017,Long m�trage,BAD POEMS,Gabor Reisz,LES FILMS DU BALIBARI,1 place de la r�publique dominicaine,75008,75008,25/08/2017,25/08/2017,2.30925348,48.88027314,"{""type"": ""Point"", ""coordinates"": [2.309253478937685, 48.88027313670672]}",48.8802731367,2.30925347894
2017-417,2017,Long m�trage,Mauvaises Herbes,Kheiron,Pa�va Films,place de la r�publique,75011,75011,01/09/2017,01/09/2017,2.36479185,48.86635144,"{""type"": ""Point"", ""coordinates"": [2.364791850060801, 48.86635144192642]}",48.8663514419,2.36479185006
2017-433,2017,Long m�trage,SUN,Jonathan,Rouge International,quai de la seine,75019,75019,27/08/2017,27/08/2017,2.37026782,48.88452068,"{""type"": ""Point"", ""coordinates"": [2.3702678238763433, 48.88452067824849]}",48.8845206782,2.37026782388
2017-1006,2017,Long m�trage,SYNONYMES,Nadav Lapid,SBS FILMS,5 place saint-michel,75005,75005,05/12/2017,05/12/2017,2.3443123999999997,48.85317347,"{""type"": ""Point"", ""coordinates"": [2.344312401618742, 48.853173470054415]}",48.8531734701,2.34431240162
2017-1017,2017,Long m�trage,TERRITOIRES,DAVID OELHOFFEN,ONE WORLD FILMS,3 rue verniquet,75017,75017,07/12/2017,07/12/2017,2.30047526,48.88689134,"{""type"": ""Point"", ""coordinates"": [2.300475256092261, 48.88689134165308]}",48.8868913417,2.30047525609
2017-1018,2017,Long m�trage,TERRITOIRES,DAVID OELHOFFEN,ONE WORLD FILMS,1 rue alphonse de neuville,75017,75017,06/12/2017,06/12/2017,2.302812,48.88545076,"{""type"": ""Point"", ""coordinates"": [2.302812001205297, 48.88545076018576]}",48.8854507602,2.30281200121
2017-732,2017,Long m�trage,VOLTAIRE,Stephen Woolfenden,PENINSULA FILM,rue de vaugirard,75015,75015,12/10/2017,12/10/2017,2.29436215,48.83626066,"{""type"": ""Point"", ""coordinates"": [2.294362152887592, 48.83626065446609]}",48.8362606545,2.29436215289
2017-1097,2017,Long m�trage,une jeunesse dor�e,Eva Ionesco,MACASSAR PRODUCTIONS,place goldoni,75002,75002,15/12/2017,16/12/2017,2.34846874,48.86503152,"{""type"": ""Point"", ""coordinates"": [2.348468737015577, 48.86503152330323]}",48.8650315233,2.34846873702
2017-1562,2017,Long m�trage,La Ch'Tite Famille,,Path� ProdEx�,23 avenue de friedland,75008,75008,20/07/2017,20/07/2017,2.30184598,48.87429063,"{""type"": ""Point"", ""coordinates"": [2.301845975270081, 48.874290625735796]}",48.8742906257,2.30184597527
2017-935,2017,Long m�trage,Synonymes,Nadav Lapid,SBS FILMS,place saint-germain des pr�s,75006,75006,20/11/2017,20/11/2017,2.33340112,48.85393988,"{""type"": ""Point"", ""coordinates"": [2.333401116375804, 48.853939876406784]}",48.8539398764,2.33340111638
2017-1380,2017,Long m�trage,Les Affam�s,L�a Fr�deval,LES FILMS DU CLAN,rue de la verrerie,75004,75004,30/06/2017,30/06/2017,2.35539005,48.85701442,"{""type"": ""Point"", ""coordinates"": [2.355390050520928, 48.85701442062025]}",48.8570144206,2.35539005052
2017-1396,2017,Long m�trage,MRS MILLS,sophie marceau,les films du Cap,rue soufflot,75005,75005,16/06/2017,16/06/2017,2.3428294,48.846912520000004,"{""type"": ""Point"", ""coordinates"": [2.342829396414603, 48.84691251616589]}",48.8469125162,2.34282939641
2017-1606,2017,Long m�trage,AMANDA,Mikhael Hers,Nord-Ouest films,place mireille havet,75011,75011,11/08/2017,11/08/2017,2.3839404,48.85034046,"{""type"": ""Point"", ""coordinates"": [2.383940403401828, 48.850340458662046]}",48.8503404587,2.3839404034
2017-1610,2017,Long m�trage,AMANDA,Mikhael Hers,Nord-Ouest films,place valhubert,75005,75005,08/08/2017,08/08/2017,2.36398421,48.84472901,"{""type"": ""Point"", ""coordinates"": [2.36398421277781, 48.8447290138105]}",48.8447290138,2.36398421278
2017-1492,2017,Long m�trage,� jamais fid�le,cheyenne carron,Hesiode Productions,2 rue michel de bourges,75020,75020,25/08/2017,25/08/2017,2.40011725,48.85408465,"{""type"": ""Point"", ""coordinates"": [2.400117249075207, 48.854084651971846]}",48.854084652,2.40011724908
2017-1493,2017,Long m�trage,� jamais fid�le,cheyenne carron,Hesiode Productions,46 boulevard de charonne,75020,75020,24/08/2017,25/08/2017,2.3986003399999998,48.85154734,"{""type"": ""Point"", ""coordinates"": [2.398600343429089, 48.851547336696946]}",48.8515473367,2.39860034343
2017-1507,2017,Long m�trage,� jamais fid�le,cheyenne carron,Hesiode Productions,place rodin,75016,75016,11/08/2017,11/08/2017,2.2709217600000002,48.85348889,"{""type"": ""Point"", ""coordinates"": [2.270921761649229, 48.85348889036608]}",48.8534888904,2.27092176165
2017-1523,2017,Long m�trage,Cold war,Pawel PAWLIKOWSKI,Philippe Leli�vre,3 rue de lota,75016,75016,20/07/2017,21/07/2017,2.27612446,48.86725275,"{""type"": ""Point"", ""coordinates"": [2.27612445600563, 48.86725274849505]}",48.8672527485,2.27612445601
2017-1541,2017,Long m�trage,UNDER THE EIFFEL TOWER,ARCHIE BORDERS,KANZAMAN FRANCE,rue du ch�teau,75014,75014,18/07/2017,18/07/2017,2.32131585,48.83459708,"{""type"": ""Point"", ""coordinates"": [2.321315853442655, 48.834597082228335]}",48.8345970822,2.32131585344
2017-1458,2017,Long m�trage,Plaire...,Christophe Honor�,LES FILMS PELLEAS Plaire...,151 boulevard saint-germain,75006,75006,17/07/2017,17/07/2017,2.33243307,48.85377085,"{""type"": ""Point"", ""coordinates"": [2.332433072322336, 48.8537708508247]}",48.8537708508,2.33243307232
2017-1313,2017,Long m�trage,Eiffel i'm in love 2,Rizal Mantovani,IFILMFRANCE,port de suffren,75015,75015,09/06/2017,10/06/2017,2.28939041,48.85654265,"{""type"": ""Point"", ""coordinates"": [2.289390406770162, 48.85654264596406]}",48.856542646,2.28939040677
2017-1344,2017,Long m�trage,L'extraordinaire voyage du Fakir,Ken Scott,Brio Films,rue maurice utrillo,75018,75018,20/07/2017,21/07/2017,2.34489393,48.88635692,"{""type"": ""Point"", ""coordinates"": [2.344893934218624, 48.88635692085292]}",48.8863569209,2.34489393422
2017-1714,2017,Long m�trage,La belle et la belle,Sophie Filli�res,CHRISTMAS IN JULY,19 rue lesage,75020,75020,07/02/2017,07/02/2017,2.38195588,48.87238855,"{""type"": ""Point"", ""coordinates"": [2.381955879322419, 48.87238854755317]}",48.8723885476,2.38195587932
2017-1469,2017,Long m�trage,CHRIST(OFF),PIERRE DUDAN,FECHNER FILMS,4 rue erasme,75005,75005,11/07/2017,11/07/2017,2.34602091,48.84235235,"{""type"": ""Point"", ""coordinates"": [2.346020906741627, 48.84235234481084]}",48.8423523448,2.34602090674
2018-76,2018,Long m�trage,L'Enkas,Sarah Marx,La rumeur filme,2 rue duhesme,75018,75018,25/01/2018,27/01/2018,2.33705207,48.89030559,"{""type"": ""Point"", ""coordinates"": [2.337052068530467, 48.890305590994835]}",48.890305591,2.33705206853
2018-78,2018,Long m�trage,L'Enkas,Sarah Marx,La rumeur filme,191 rue championnet,75018,75018,25/01/2018,27/01/2018,2.33254293,48.89405934,"{""type"": ""Point"", ""coordinates"": [2.332542934643893, 48.8940593393185]}",48.8940593393,2.33254293464
2018-97,2018,Long m�trage,HAUTE SOCIETE,BYUN HYUK,KEYSTONE FILMS,place saint-gervais,75004,75004,01/02/2018,01/02/2018,2.35416512,48.85582175,"{""type"": ""Point"", ""coordinates"": [2.354165115914434, 48.85582175149272]}",48.8558217515,2.35416511591
2018-111,2018,Long m�trage,LA LUTTE DES CLASSES,Michel Leclerc,KARE PRODUCTIONS,avenue de la porte de bagnolet,75020,75020,14/02/2018,14/02/2018,2.4111162,48.865014790000004,"{""type"": ""Point"", ""coordinates"": [2.411116196920233, 48.86501478851981]}",48.8650147885,2.41111619692
2017-1567,2017,Long m�trage,Un homme press�,,Albertine Productions,place georges mulot,75015,75015,17/07/2017,17/07/2017,2.3099660699999998,48.84698001,"{""type"": ""Point"", ""coordinates"": [2.309966072981552, 48.84698000789974]}",48.8469800079,2.30996607298
2018-46,2018,Long m�trage,MON INCONNUE,HUGO G�LIN,ZAZI FILMS,10b avenue trudaine,75009,75009,17/01/2018,18/01/2018,2.34454058,48.88170491,"{""type"": ""Point"", ""coordinates"": [2.344540582294898, 48.88170491356986]}",48.8817049136,2.34454058229
2018-278,2018,Long m�trage,MAIS VOUS ETES FOUS,audrey Diwan,RECTANGLE PRODUCTIONS,84 avenue kl�ber,75016,75016,12/03/2018,16/03/2018,2.28963866,48.86673002,"{""type"": ""Point"", ""coordinates"": [2.2896386570800322, 48.86673002353613]}",48.8667300235,2.28963865708
2018-156,2018,Long m�trage,MAIS VOUS ETES FOUS,Audrey DIWAN,RECTANGLE PRODUCTIONS,39 rue de la harpe,75005,75005,22/02/2018,22/02/2018,2.34431138,48.85198327,"{""type"": ""Point"", ""coordinates"": [2.3443113787665792, 48.8519832668187]}",48.8519832668,2.34431137877
